team,pass_attempts_faced,actual_ints,pass_defenses,qb_hits,sacks,expected_ints_total,actual_int_rank,expected_int_rank,actual_int_tie_count,expected_int_tie_count,actual_int_rank_label,expected_int_rank_label
CHI,573,23,71,80,35,65.90241558086763,1,17,1,1,1st,17th
JAX,672,22,102,91,32,95.09909138429067,2,1,1,1,2nd,1st
HOU,590,19,88,89,47,81.53614934132247,3,3,2,1,Tied-3rd,3rd
LAC,552,19,77,88,45,71.13658692493411,3,11,2,1,Tied-3rd,11th
SEA,651,18,88,110,47,82.04709390586852,5,2,1,1,5th,2nd
ATL,591,16,84,90,57,77.36044409875008,6,8,2,1,Tied-6th,8th
LA,640,16,80,115,47,74.55733874533443,6,9,2,1,Tied-6th,9th
PIT,666,15,84,108,48,77.53803630553178,8,7,2,1,Tied-8th,7th
CAR,537,15,61,53,30,56.22367653726276,8,24,2,1,Tied-8th,24th
IND,669,14,77,93,39,71.8603755118727,10,10,1,1,10th,10th
DET,609,13,88,99,49,81.38340798382058,11,4,4,1,Tied-11th,4th
CIN,572,13,71,78,35,66.05829433986716,11,16,4,1,Tied-11th,16th
TB,609,13,65,86,37,60.11405100277112,11,20,4,1,Tied-11th,20th
BUF,505,13,59,86,36,55.20511410194009,11,25,4,1,Tied-11th,25th
PHI,588,12,84,102,42,77.75076062801824,15,6,1,1,15th,6th
BAL,659,11,73,96,30,68.37342044208451,16,15,2,1,Tied-16th,15th
CLE,542,11,64,103,53,59.39569804187716,16,21,2,1,Tied-16th,21st
DEN,663,10,86,149,68,79.80365094620929,18,5,5,1,Tied-18th,5th
NO,536,10,77,79,45,70.57245894857853,18,12,5,1,Tied-18th,12th
ARI,603,10,76,69,30,70.27699395562298,18,13,5,1,Tied-18th,13th
NE,564,10,64,86,35,60.11929749673403,18,19,5,1,Tied-18th,19th
KC,544,10,57,98,35,52.9879917988375,18,27,5,1,Tied-18th,27th
NYG,592,9,75,93,39,69.40938586097285,23,14,2,1,Tied-23rd,14th
MIA,556,9,53,75,39,49.646784569580085,23,29,2,1,Tied-23rd,29th
WAS,584,8,69,88,42,63.77007421739944,25,18,3,1,Tied-25th,18th
LV,565,8,51,81,37,47.138410533878776,25,30,3,1,Tied-25th,30th
MIN,497,8,51,95,49,46.993387360292296,25,31,3,1,Tied-25th,31st
GB,587,7,58,98,36,55.14118088406446,28,26,1,1,28th,26th
TEN,558,6,62,92,42,57.33624896250577,29,23,3,1,Tied-29th,23rd
SF,607,6,54,57,20,50.65738797597039,29,28,3,1,Tied-29th,28th
DAL,595,6,40,105,35,37.84529426659534,29,32,3,1,Tied-29th,32nd
NYJ,543,0,63,58,26,57.79721099708507,32,22,1,1,32nd,22nd
