game_id,drive,qtr,time,pass_attempts,pass_defenses,qb_hits,sacks,interceptions,expected_ints
2025_01_PIT_NYJ,2.0,1.0,03:44,6,0,1,1,0,0.012319241684543899
2025_01_PIT_NYJ,4.0,1.0,00:17,3,0,1,0,0,0.0086757085963582
2025_01_PIT_NYJ,6.0,2.0,08:32,2,0,1,1,0,0.002736236381577824
2025_01_PIT_NYJ,8.0,2.0,00:37,5,1,0,0,0,0.8848529823931449
2025_01_PIT_NYJ,10.0,3.0,13:19,1,0,1,0,0,0.005612518425018927
2025_01_PIT_NYJ,12.0,3.0,09:43,4,1,1,1,0,0.9100646362584429
2025_01_PIT_NYJ,14.0,3.0,02:09,4,1,0,0,0,0.8922891828997254
2025_01_PIT_NYJ,16.0,4.0,14:12,1,0,0,0,0,0.005945365916385264
2025_01_PIT_NYJ,18.0,4.0,06:07,3,0,2,1,0,0.009565903176794387
2025_01_PIT_NYJ,20.0,4.0,01:12,5,1,0,0,0,0.9533087635517085
2025_02_BUF_NYJ,2.0,1.0,09:05,3,0,0,0,0,0.008761935606707879
2025_02_BUF_NYJ,4.0,1.0,05:08,3,1,0,0,0,0.8418771479065474
2025_02_BUF_NYJ,6.0,1.0,01:08,5,1,1,0,0,0.8976713634264514
2025_02_BUF_NYJ,8.0,2.0,10:18,2,0,0,0,0,0.0060589728684828405
2025_02_BUF_NYJ,10.0,2.0,00:59,5,1,1,1,0,0.881065768980652
2025_02_BUF_NYJ,13.0,3.0,10:28,4,1,0,0,0,0.8549325227377625
2025_02_BUF_NYJ,15.0,3.0,03:19,3,1,0,0,0,0.8863865287559397
2025_02_BUF_NYJ,17.0,4.0,13:02,2,0,0,0,0,0.004767247877927164
2025_02_BUF_NYJ,19.0,4.0,06:53,1,0,0,0,0,0.0026184710004800243
2025_03_NYJ_TB,2.0,1.0,06:46,2,0,0,0,0,0.004509562697793288
2025_03_NYJ_TB,4.0,2.0,11:18,6,0,0,0,0,0.017011381811520242
2025_03_NYJ_TB,6.0,2.0,07:53,1,1,1,0,0,0.9251571231527437
2025_03_NYJ_TB,8.0,2.0,04:55,3,0,1,1,0,0.005248607099079186
2025_03_NYJ_TB,10.0,2.0,01:54,2,0,0,0,0,0.0042160996739266186
2025_03_NYJ_TB,12.0,2.0,01:04,1,0,0,0,0,0.002050085793428224
2025_03_NYJ_TB,15.0,3.0,06:00,6,0,0,0,0,0.01636520738948203
2025_03_NYJ_TB,17.0,4.0,14:18,1,0,0,0,0,0.0029926203614870444
2025_03_NYJ_TB,19.0,4.0,06:22,4,0,0,0,0,0.015451103036415354
2025_03_NYJ_TB,22.0,4.0,01:31,4,1,0,0,0,0.9661753994712853
2025_04_NYJ_MIA,1.0,1.0,10:59,5,1,0,0,0,0.8534922500541313
2025_04_NYJ_MIA,3.0,1.0,00:39,8,1,0,0,0,0.8696947085939208
2025_04_NYJ_MIA,5.0,2.0,02:25,2,0,0,0,0,0.0047481875077248215
2025_04_NYJ_MIA,8.0,3.0,11:38,2,0,0,0,0,0.005277769083289404
2025_04_NYJ_MIA,10.0,3.0,05:56,3,0,0,0,0,0.007118856287289723
