season,game_id,game_date,week,posteam,defteam,qtr,time,score_differential,air_yards,pass_length,pass_location,qb_hit,sack,pass_defense,interception,expected_int_prob,expected_ints,desc
2025,2025_01_PIT_NYJ,2025-09-07,1,PIT,NYJ,1.0,09:09,-3.0,,,,1,1,False,0,0.0005196203976529849,0.0005196203976529849,(9:09) 8-A.Rodgers sacked at PIT 25 for -4 yards (95-Q.Williams).
2025,2025_01_PIT_NYJ,2025-09-07,1,PIT,NYJ,1.0,07:41,-3.0,7.0,short,left,0,0,False,0,0.0020132586531551935,0.0020132586531551935,(7:41) (Shotgun) 8-A.Rodgers pass short left to 88-P.Freiermuth to PIT 40 for 11 yards (44-J.Sherwood).
2025,2025_01_PIT_NYJ,2025-09-07,1,PIT,NYJ,1.0,06:27,-3.0,2.0,short,middle,0,0,False,0,0.00266744377053978,0.00266744377053978,(6:27) (Shotgun) 8-A.Rodgers pass incomplete short middle to 4-D.Metcalf.
2025,2025_01_PIT_NYJ,2025-09-07,1,PIT,NYJ,1.0,06:22,-3.0,3.0,short,right,0,0,False,0,0.0023580251574987247,0.0023580251574987247,(6:22) (Shotgun) 8-A.Rodgers pass short right to 4-D.Metcalf pushed ob at NYJ 37 for 23 yards (8-A.Cisco).
2025,2025_01_PIT_NYJ,2025-09-07,1,PIT,NYJ,1.0,05:40,-3.0,-4.0,short,right,0,0,False,0,0.002301901812275756,0.002301901812275756,(5:40) 8-A.Rodgers pass short right to 81-J.Smith to NYJ 31 for 6 yards (56-Qu.Williams).
2025,2025_01_PIT_NYJ,2025-09-07,1,PIT,NYJ,1.0,03:44,-3.0,9.0,short,right,0,0,False,0,0.0024589918934214603,0.0024589918934214603,"(3:44) 8-A.Rodgers pass short right to 15-B.Skowronek for 22 yards, TOUCHDOWN."
2025,2025_01_PIT_NYJ,2025-09-07,1,PIT,NYJ,1.0,00:17,-2.0,-3.0,short,left,0,0,False,0,0.002014521422816716,0.002014521422816716,(:17) (Shotgun) 8-A.Rodgers pass short left to 4-D.Metcalf ran ob at NYJ 41 for 31 yards (8-A.Cisco).
2025,2025_01_PIT_NYJ,2025-09-07,1,PIT,NYJ,2.0,15:00,-2.0,11.0,short,right,1,0,False,0,0.0046313539668586794,0.0046313539668586794,(15:00) 8-A.Rodgers pass incomplete short right [95-Q.Williams].
2025,2025_01_PIT_NYJ,2025-09-07,1,PIT,NYJ,2.0,14:08,-2.0,-3.0,short,left,0,0,False,0,0.002029833206682805,0.002029833206682805,(14:08) (Shotgun) 8-A.Rodgers pass short left to 81-J.Smith to NYJ 37 for 5 yards (78-J.Tufele).
2025,2025_01_PIT_NYJ,2025-09-07,1,PIT,NYJ,2.0,09:14,-6.0,-4.0,short,left,0,0,False,0,0.002147855499021483,0.002147855499021483,(9:14) (Shotgun) 8-A.Rodgers pass short left to 14-K.Gainwell pushed ob at PIT 34 for 4 yards (56-Qu.Williams).
2025,2025_01_PIT_NYJ,2025-09-07,1,PIT,NYJ,2.0,08:32,-6.0,,,,1,1,False,0,0.0005883808825563408,0.0005883808825563408,(8:32) (Shotgun) 8-A.Rodgers sacked at PIT 30 for -4 yards (9-W.McDonald).
2025,2025_01_PIT_NYJ,2025-09-07,1,PIT,NYJ,2.0,02:54,-9.0,3.0,short,left,0,0,True,0,0.8704782142796607,0.8704782142796607,(2:54) 8-A.Rodgers pass incomplete short left to 4-D.Metcalf (1-A.Gardner).
2025,2025_01_PIT_NYJ,2025-09-07,1,PIT,NYJ,2.0,02:50,-9.0,13.0,short,right,0,0,False,0,0.0028958396165086856,0.0028958396165086856,(2:50) (Shotgun) 8-A.Rodgers pass short right to 19-C.Austin pushed ob at NYJ 35 for 30 yards (22-T.Adams).
2025,2025_01_PIT_NYJ,2025-09-07,1,PIT,NYJ,2.0,01:17,-9.0,0.0,short,right,0,0,False,0,0.0027737663343070395,0.0027737663343070395,(1:17) (Shotgun) 8-A.Rodgers pass short right to 81-J.Smith to NYJ 24 for 3 yards (22-T.Adams).
2025,2025_01_PIT_NYJ,2025-09-07,1,PIT,NYJ,2.0,01:07,-9.0,18.0,deep,right,0,0,False,0,0.005590590347640012,0.005590590347640012,(1:07) (Shotgun) 8-A.Rodgers pass deep right to 19-C.Austin to NYJ 3 for 21 yards (21-B.Stephens).
